,geo_precision,count,boundary,lon,lat
825,1,3,FRA.1.12_1,5.71933,45.7061
824,1,2,FRA.1.3_1,4.20205,44.3745
818,1,3,FRA.12.2_1,-0.949375,47.3511
816,1,1,FRA.3.2_1,-4.29675,48.3231
817,1,2,FRA.3.2_1,-4.26645,48.2915
823,1,2,FRA.7.4_1,3.08644,50.1116
821,1,6,FRA.8.3_1,2.33333,48.8667
822,1,1,FRA.8.6_1,2.34688,48.9734
820,1,4,FRA.8.8_1,2.01781,48.7741
819,1,3,FRA.9.1_1,-0.259104,49.2757
814,4,143,GBR,-4,54
802,1,1,GBR.1.110_1,-0.65,50.7833
785,1,1,GBR.1.114_1,-3.08333,53.4
801,1,1,GBR.1.13_1,-0.8,51.8167
809,1,2,GBR.1.16_1,0.1,52.1
810,1,4,GBR.1.16_1,0.116667,52.2
811,1,1,GBR.1.16_1,0.266667,52.35
778,1,1,GBR.1.20_1,-5.48333,50.0833
799,1,1,GBR.1.27_1,-1.11667,53.5333
812,1,1,GBR.1.33_1,0.566667,51.8833
813,1,1,GBR.1.33_1,0.9,51.8833
793,1,5,GBR.1.35_1,-1.71667,51.8
803,1,1,GBR.1.36_1,-0.45,51.4667
804,1,2,GBR.1.36_1,-0.216667,51.5167
805,1,3,GBR.1.36_1,-0.183333,51.55
806,1,1,GBR.1.36_1,-0.133333,51.5
807,1,65,GBR.1.36_1,-0.116667,51.5
808,1,2,GBR.1.36_1,-0.091618,51.4736
794,1,1,GBR.1.38_1,-1.6,50.8333
795,1,2,GBR.1.39_1,-1.2125,54.6861
796,1,1,GBR.1.39_1,-1.18333,54.6667
791,1,1,GBR.1.4_1,-1.81667,52.5667
787,1,1,GBR.1.47_1,-2.81667,53.3667
790,1,6,GBR.1.54_1,-2.21667,53.5
797,1,4,GBR.1.66_1,-1.16667,52.9667
800,1,3,GBR.1.67_1,-1.1,53.1667
789,1,1,GBR.1.7_1,-2.38333,53.5833
798,1,1,GBR.1.75_1,-1.16278,54.5728
792,1,1,GBR.1.86_1,-1.78333,52.4167
774,1,1,GBR.2.2_1,-6.5,54.5
777,1,9,GBR.2.3_1,-5.93333,54.5833
776,1,3,GBR.2.4_1,-6.41667,55.15
784,1,1,GBR.3.12_1,-3.2,55.95
773,1,2,GBR.3.13_1,-6.66667,58.25
786,1,2,GBR.3.15_1,-3.06667,56.2833
780,1,1,GBR.3.16_1,-4.36667,55.9
781,1,4,GBR.3.16_1,-4.25,55.8333
782,1,2,GBR.3.17_1,-4.25,57.6833
788,1,3,GBR.3.23_1,-2.61667,59.15
775,1,1,GBR.3.4_1,-6.5,55.6833
779,1,1,GBR.4.16_1,-4.70167,51.7083
783,1,2,GBR.4.18_1,-3.45,51.6333
1446,1,3,GEO.11.1_1,44,42.3333
1445,1,2,GEO.11.3_1,43.7275,42.1566
1448,1,2,GEO.12.1_1,44.7908,41.725
1447,1,1,GEO.7.4_1,44.7331,41.8236
830,4,1,GGY,-2.333333,49.583333
840,4,5,GHA,-2,8
834,1,2,GHA.1.9_1,-1.08333,6.88333
833,1,1,GHA.10.1_1,-1.94645,4.79492
832,1,1,GHA.10.13_1,-1.98474,5.30644
835,1,2,GHA.3.9_1,-0.733333,5.3
836,1,3,GHA.4.15_1,-0.35,5.85
837,1,10,GHA.5.1_1,-0.216667,5.55
838,1,1,GHA.5.6_1,0.056219,5.68821
839,1,1,GHA.9.3_1,0.536667,6.91428
815,4,1,GIB,-5.35,36.133333
739,4,2,GIN,-10,11
717,4,2,GMB,-15.5,13.5
714,1,1,GMB.1.1_1,-16.5775,13.4531
712,1,2,GMB.1.2_1,-16.6819,13.4781
716,1,1,GMB.3.1_1,-14.8167,13.5333
715,1,2,GMB.6.7_1,-16.5264,13.2472
713,1,1,GMB.6.8_1,-16.6253,13.3317
983,4,2,GNQ,10,2
1098,4,15,GRC,22,39
1097,1,2,GRC.1.1_1,26.25,39.1667
1094,1,2,GRC.1.2_1,25.0833,37.0333
1095,1,3,GRC.1.2_1,25.3333,37.45
1096,1,2,GRC.1.2_1,25.4592,36.3956
1093,1,22,GRC.3.1_1,23.7333,37.9833
1090,1,2,GRC.6.1_1,22.0472,40.8006
1091,1,1,GRC.6.1_1,22.9875,40.6006
1092,1,1,GRC.6.1_1,23.5,40.4167
1088,1,2,GRC.7.3_1,21.15,37.9333
1089,1,2,GRC.8.1_1,21.5,38.25
642,4,7,GTM,-90.25,15.5
